applicant_id,contribution_month,employer_name,ordinary_wages,employee_contribution,employer_contribution,total_contribution,oa_balance_eom,sa_balance_eom,ma_balance_eom
APP0001,2026-05,"Thomas, Lewis and Harris",11428.82,2285.76,1942.9,4228.66,86780.42,67101.62,55934.84
APP0001,2026-04,"Bush, Wheeler and Powers",11064.15,2212.83,1880.91,4093.74,84151.89,66187.39,55248.95
APP0001,2026-03,Brooks LLC,11601.56,2320.31,1972.27,4292.58,81607.22,65302.32,54584.95
APP0001,2026-02,Morrow-Simmons,11006.64,2201.33,1871.13,4072.46,78938.95,64374.27,53888.69
APP0001,2026-01,"Wong, Richardson and Mosley",11966.23,2393.25,2034.26,4427.51,76407.51,63493.8,53228.14
APP0001,2025-12,Hubbard-Bailey,11198.71,2239.74,1903.78,4143.52,73655.37,62536.57,52510.0
APP0001,2025-11,Meadows and Sons,11077.16,2215.43,1883.12,4098.55,71079.76,61640.74,51837.92
APP0001,2025-10,Scott LLC,11468.57,2293.71,1949.66,4243.37,68532.1,60754.64,51173.13
APP0001,2025-09,SELF-EMPLOYED,11143.97,2228.79,1894.47,4123.26,65894.42,59837.22,50484.86
APP0001,2025-08,Jackson Group,11412.12,2282.42,1940.06,4222.48,63331.4,58945.77,49816.07
APP0001,2025-07,Rice Ltd,11699.37,2339.87,1988.89,4328.76,60706.71,58032.87,49131.18
APP0001,2025-06,Harper-Peterson,11388.01,2277.6,1935.96,4213.56,58015.95,57096.99,48429.06
APP0001,2025-05,Marquez and Sons,11210.95,2242.19,1905.86,4148.05,55396.8,56186.02,47745.62
APP0001,2025-04,"Carlson, Butler and Brandt",11410.16,2282.03,1939.73,4221.76,52818.37,55289.21,47072.8
APP0001,2025-03,Palmer and Sons,11986.76,2397.35,2037.75,4435.1,50194.13,54376.47,46388.03
APP0002,2026-05,Jennings Inc,8691.04,1738.21,1477.48,3215.69,72155.49,16606.89,68276.62
APP0002,2026-04,Meadows-Baldwin,9405.79,1881.16,1598.98,3480.14,70156.62,15911.66,67755.04
APP0002,2026-03,Wilson LLC,9417.31,1883.46,1600.94,3484.4,67993.36,15159.25,67190.56
APP0002,2026-02,"Davis, Ellis and Wilson",8839.51,1767.9,1502.72,3270.62,65827.46,14405.93,66625.39
APP0002,2026-01,Jones Inc,8989.87,1797.97,1528.28,3326.25,63794.44,13698.82,66094.89
APP0002,2025-12,Burton LLC,9358.5,1871.7,1590.95,3462.65,61726.84,12979.68,65555.38
APP0002,2025-11,Owens-Harris,9516.16,1903.23,1617.75,3520.98,59574.46,12231.06,64993.73
APP0002,2025-10,Lozano-May,9298.75,1859.75,1580.79,3440.54,57385.82,11469.82,64422.63
APP0002,2025-09,Barnes Inc,9526.53,1905.31,1619.51,3524.82,55247.18,10725.98,63864.57
APP0002,2025-08,SELF-EMPLOYED,9325.66,1865.13,1585.36,3450.49,53056.15,9963.91,63292.85
APP0002,2025-07,Howard LLC,9102.59,1820.52,1547.44,3367.96,50911.33,9217.91,62733.18
