doc_id,applicant_id,application_id,doc_type,period_covered,employer_name,basic_salary,variable_pay,gross_income,cpf_employee_deduct,net_income,commission_amount,assessed_year_income,tax_assessed,doc_verified,ocr_confidence,extraction_date
DOC-APP0001-PS-1,APP0001,LA0001,Payslip,2026-05,Long Inc,10197.14,1499.58,11696.72,2339.34,9357.38,0.0,,,True,0.895,2026-05-20
DOC-APP0001-PS-2,APP0001,LA0001,Payslip,2026-04,Rodriguez-Wilson,10255.19,1508.12,11763.31,2352.66,9410.65,0.0,,,True,0.966,2026-05-20
DOC-APP0001-PS-3,APP0001,LA0001,Payslip,2026-03,James LLC,10163.47,1494.63,11658.09,2331.62,9326.47,0.0,,,True,0.887,2026-05-20
DOC-APP0001-NOA-2025,APP0001,LA0001,NOA,2025,,,,,,,,154603.14,4616.5,True,0.942,2026-05-20
DOC-APP0001-NOA-2024,APP0001,LA0001,NOA,2024,,,,,,,,147699.8,4616.5,True,0.986,2026-05-20
DOC-APP0002-PS-1,APP0002,LA0002,Payslip,2026-05,Price-Price,10014.47,910.41,10924.87,2184.97,8739.9,0.0,,,True,0.962,2026-05-13
DOC-APP0002-PS-2,APP0002,LA0002,Payslip,2026-04,Perry and Sons,10109.29,919.03,11028.32,2205.66,8822.66,0.0,,,True,0.872,2026-05-13
DOC-APP0002-PS-3,APP0002,LA0002,Payslip,2026-03,Miller PLC,9791.1,890.1,10681.2,2136.24,8544.96,0.0,,,True,0.944,2026-05-13
DOC-APP0002-NOA-2025,APP0002,LA0002,NOA,2025,,,,,,,,499345.48,16271.5,True,0.86,2026-05-13
DOC-APP0002-NOA-2024,APP0002,LA0002,NOA,2024,,,,,,,,489988.0,16271.5,True,0.99,2026-05-13
DOC-APP0003-PS-1,APP0003,LA0003,Payslip,2026-05,Rubio-Sullivan,10657.61,996.04,11653.65,2330.73,9322.92,0.0,,,True,0.92,2026-04-15
DOC-APP0003-PS-2,APP0003,LA0003,Payslip,2026-04,"Larson, Martin and Brown",10939.2,1022.35,11961.55,2392.31,9569.24,0.0,,,True,0.932,2026-04-15
DOC-APP0003-PS-3,APP0003,LA0003,Payslip,2026-03,Garcia-Rogers,10959.0,1024.21,11983.2,2396.64,9586.56,0.0,,,True,0.951,2026-04-15
DOC-APP0003-NOA-2025,APP0003,LA0003,NOA,2025,,,,,,,,179778.21,5698.0,True,0.87,2026-04-15
DOC-APP0003-NOA-2024,APP0003,LA0003,NOA,2024,,,,,,,,183255.78,5698.0,True,0.961,2026-04-15
DOC-APP0003-COMM,APP0003,LA0003,Commission Statement,2025,Wallace Inc,,,,,,4646.43,,,True,0.898,2026-04-15
DOC-APP0004-PS-1,APP0004,LA0004,Payslip,2026-05,Peterson-Anderson,6792.7,984.45,7777.15,1555.43,6221.72,0.0,,,True,0.827,2026-06-16
DOC-APP0004-PS-2,APP0004,LA0004,Payslip,2026-04,Olsen Inc,6883.92,997.67,7881.59,1576.32,6305.27,0.0,,,True,0.849,2026-06-16
DOC-APP0004-PS-3,APP0004,LA0004,Payslip,2026-03,Allen-Kim,6696.89,970.56,7667.45,1533.49,6133.96,0.0,,,True,0.971,2026-06-16
DOC-APP0004-NOA-2025,APP0004,LA0004,NOA,2025,,,,,,,,682562.57,22855.0,True,0.912,2026-06-16
DOC-APP0004-NOA-2024,APP0004,LA0004,NOA,2024,,,,,,,,664685.25,22855.0,True,0.939,2026-06-16
DOC-APP0005-PS-1,APP0005,LA0005,Payslip,2026-05,Perez Ltd,5516.03,788.0,6304.04,1260.81,5043.23,0.0,,,True,0.838,2026-04-14
DOC-APP0005-PS-2,APP0005,LA0005,Payslip,2026-04,Long-Scott,5561.26,794.47,6355.72,1271.14,5084.58,0.0,,,True,0.845,2026-04-14
