prop_doc_id,applicant_id,application_id,doc_type,property_address,property_type,floor_area_sqm,tenure,lease_commencement_year,purchase_price,option_date,option_expiry_date,option_exercise_date,seller_name,solicitor_firm,cpf_oa_used_to_date,cpf_accrued_interest,cpf_withdrawal_date,existing_property_address,sale_price,expected_completion_date,net_proceeds_estimated,doc_verified,extraction_date
PDOC-APP0001-OTP,APP0001,LA0001,OTP,"Canninghill Piers, #40-14, Singapore 393328",Private Residential,59.4,99-year Leasehold,1983.0,1792000.0,2026-05-10,2026-05-24,2026-05-23,Ryan Fleming,Becker-Edwards LLC,,,,,,,,True,2026-05-20
PDOC-APP0002-OTP,APP0002,LA0002,OTP,"Normanton Park, #35-12, Singapore 163491",Executive Condominium,110.0,Freehold,,1600000.0,2026-05-03,2026-05-17,2026-05-15,Lisa Huff,"Khan, Vega and Hall LLC",,,,,,,,True,2026-05-13
PDOC-APP0002-CPFW,APP0002,LA0002,CPF Withdrawal Statement,"Blk 250 Jurong West, #05-290, Singapore 315173",,,,,,,,,,,135108.73,32996.07,2026-05-06,,,,,True,2026-05-13
PDOC-APP0003-OTP,APP0003,LA0003,OTP,"Blk 239 Clementi, #11-076, Singapore 724932",HDB Flat,45.7,Freehold,,700000.0,2026-03-21,2026-04-04,2026-04-01,Curtis Johnson,White-Jones LLC,,,,,,,,True,2026-04-15
PDOC-APP0004-OTP,APP0004,LA0004,OTP,"Blk 27 Bishan, #05-008, Singapore 475644",HDB Flat,167.3,Freehold,,569000.0,2026-06-04,2026-06-18,2026-06-17,Chelsea Scott,"Miller, Munoz and Willis LLC",,,,,,,,True,2026-06-16
PDOC-APP0005-OTP,APP0005,LA0005,OTP,"Parc Clematis, #48-14, Singapore 651640",Private Residential,76.2,Freehold,,1665000.0,2026-04-06,2026-04-20,2026-04-18,Theresa Perkins,Mclaughlin LLC LLC,,,,,,,,True,2026-04-14
PDOC-APP0006-OTP,APP0006,LA0006,OTP,"Canninghill Piers, #33-08, Singapore 744986",Executive Condominium,62.4,999-year Leasehold,2003.0,1600000.0,2026-01-07,2026-01-21,2026-01-18,Austin Roth,"Young, Jackson and Allen LLC",,,,,,,,False,2026-01-17
PDOC-APP0007-OTP,APP0007,LA0007,OTP,"Canninghill Piers, #26-14, Singapore 819425",Executive Condominium,75.3,999-year Leasehold,1998.0,839000.0,2026-05-05,2026-05-19,,Anne Edwards,Hickman-Walters LLC,,,,,,,,True,2026-05-13
PDOC-APP0008-OTP,APP0008,LA0008,OTP,"Parc Clematis, #05-05, Singapore 388375",Executive Condominium,139.4,999-year Leasehold,2005.0,1600000.0,2026-01-26,2026-02-09,2026-02-07,Deanna Davis,"Smith, Smith and Moreno LLC",,,,,,,,False,2026-02-21
PDOC-APP0009-OTP,APP0009,LA0009,OTP,"Blk 465 Geylang, #17-221, Singapore 203996",HDB Flat,167.9,Freehold,,700000.0,2025-12-12,2025-12-26,2025-12-23,Ryan Orr,Daniel-Walker LLC,,,,,,,,True,2026-01-04
PDOC-APP0009-CPFW,APP0009,LA0009,CPF Withdrawal Statement,"Blk 348 Queenstown, #15-205, Singapore 536196",,,,,,,,,,,175788.62,23909.71,2025-12-27,,,,,True,2026-01-04
PDOC-APP0009-OOS,APP0009,LA0009,Option of Sale,,,,,,,,,,,,,,,"One North Eden, #06-03, Singapore 197758",898000.0,2026-04-29,659000.0,True,2026-01-04
PDOC-APP0010-OTP,APP0010,LA0010,OTP,"Normanton Park, #09-18, Singapore 162894",Private Residential,134.0,999-year Leasehold,2005.0,1591000.0,2025-12-28,2026-01-11,2026-01-10,Stacey Hughes,"Montoya, Roy and Navarro LLC",,,,,,,,True,2026-01-27
